Global depth : 7
0000000 : [Local depth:7]<e128><e256><e1024><e512>
0000001 : [Local depth:1]<e19><e65><e199>
0000010 : [Local depth:2]<e2><e10>
0000011 : [Local depth:1]<e19><e65><e199>
0000100 : [Local depth:3]
0000101 : [Local depth:1]<e19><e65><e199>
0000110 : [Local depth:2]<e2><e10>
0000111 : [Local depth:1]<e19><e65><e199>
0001000 : [Local depth:4]<e8>
0001001 : [Local depth:1]<e19><e65><e199>
0001010 : [Local depth:2]<e2><e10>
0001011 : [Local depth:1]<e19><e65><e199>
0001100 : [Local depth:3]
0001101 : [Local depth:1]<e19><e65><e199>
0001110 : [Local depth:2]<e2><e10>
0001111 : [Local depth:1]<e19><e65><e199>
0010000 : [Local depth:5]<e16>
0010001 : [Local depth:1]<e19><e65><e199>
0010010 : [Local depth:2]<e2><e10>
0010011 : [Local depth:1]<e19><e65><e199>
0010100 : [Local depth:3]
0010101 : [Local depth:1]<e19><e65><e199>
0010110 : [Local depth:2]<e2><e10>
0010111 : [Local depth:1]<e19><e65><e199>
0011000 : [Local depth:4]<e8>
0011001 : [Local depth:1]<e19><e65><e199>
0011010 : [Local depth:2]<e2><e10>
0011011 : [Local depth:1]<e19><e65><e199>
0011100 : [Local depth:3]
0011101 : [Local depth:1]<e19><e65><e199>
0011110 : [Local depth:2]<e2><e10>
0011111 : [Local depth:1]<e19><e65><e199>
0100000 : [Local depth:6]<e32>
0100001 : [Local depth:1]<e19><e65><e199>
0100010 : [Local depth:2]<e2><e10>
0100011 : [Local depth:1]<e19><e65><e199>
0100100 : [Local depth:3]
0100101 : [Local depth:1]<e19><e65><e199>
0100110 : [Local depth:2]<e2><e10>
0100111 : [Local depth:1]<e19><e65><e199>
0101000 : [Local depth:4]<e8>
0101001 : [Local depth:1]<e19><e65><e199>
0101010 : [Local depth:2]<e2><e10>
0101011 : [Local depth:1]<e19><e65><e199>
0101100 : [Local depth:3]
0101101 : [Local depth:1]<e19><e65><e199>
0101110 : [Local depth:2]<e2><e10>
0101111 : [Local depth:1]<e19><e65><e199>
0110000 : [Local depth:5]<e16>
0110001 : [Local depth:1]<e19><e65><e199>
0110010 : [Local depth:2]<e2><e10>
0110011 : [Local depth:1]<e19><e65><e199>
0110100 : [Local depth:3]
0110101 : [Local depth:1]<e19><e65><e199>
0110110 : [Local depth:2]<e2><e10>
0110111 : [Local depth:1]<e19><e65><e199>
0111000 : [Local depth:4]<e8>
0111001 : [Local depth:1]<e19><e65><e199>
0111010 : [Local depth:2]<e2><e10>
0111011 : [Local depth:1]<e19><e65><e199>
0111100 : [Local depth:3]
0111101 : [Local depth:1]<e19><e65><e199>
0111110 : [Local depth:2]<e2><e10>
0111111 : [Local depth:1]<e19><e65><e199>
1000000 : [Local depth:7]<e64>
1000001 : [Local depth:1]<e19><e65><e199>
1000010 : [Local depth:2]<e2><e10>
1000011 : [Local depth:1]<e19><e65><e199>
1000100 : [Local depth:3]
1000101 : [Local depth:1]<e19><e65><e199>
1000110 : [Local depth:2]<e2><e10>
1000111 : [Local depth:1]<e19><e65><e199>
1001000 : [Local depth:4]<e8>
1001001 : [Local depth:1]<e19><e65><e199>
1001010 : [Local depth:2]<e2><e10>
1001011 : [Local depth:1]<e19><e65><e199>
1001100 : [Local depth:3]
1001101 : [Local depth:1]<e19><e65><e199>
1001110 : [Local depth:2]<e2><e10>
1001111 : [Local depth:1]<e19><e65><e199>
1010000 : [Local depth:5]<e16>
1010001 : [Local depth:1]<e19><e65><e199>
1010010 : [Local depth:2]<e2><e10>
1010011 : [Local depth:1]<e19><e65><e199>
1010100 : [Local depth:3]
1010101 : [Local depth:1]<e19><e65><e199>
1010110 : [Local depth:2]<e2><e10>
1010111 : [Local depth:1]<e19><e65><e199>
1011000 : [Local depth:4]<e8>
1011001 : [Local depth:1]<e19><e65><e199>
1011010 : [Local depth:2]<e2><e10>
1011011 : [Local depth:1]<e19><e65><e199>
1011100 : [Local depth:3]
1011101 : [Local depth:1]<e19><e65><e199>
1011110 : [Local depth:2]<e2><e10>
1011111 : [Local depth:1]<e19><e65><e199>
1100000 : [Local depth:6]<e32>
1100001 : [Local depth:1]<e19><e65><e199>
1100010 : [Local depth:2]<e2><e10>
1100011 : [Local depth:1]<e19><e65><e199>
1100100 : [Local depth:3]
1100101 : [Local depth:1]<e19><e65><e199>
1100110 : [Local depth:2]<e2><e10>
1100111 : [Local depth:1]<e19><e65><e199>
1101000 : [Local depth:4]<e8>
1101001 : [Local depth:1]<e19><e65><e199>
1101010 : [Local depth:2]<e2><e10>
1101011 : [Local depth:1]<e19><e65><e199>
1101100 : [Local depth:3]
1101101 : [Local depth:1]<e19><e65><e199>
1101110 : [Local depth:2]<e2><e10>
1101111 : [Local depth:1]<e19><e65><e199>
1110000 : [Local depth:5]<e16>
1110001 : [Local depth:1]<e19><e65><e199>
1110010 : [Local depth:2]<e2><e10>
1110011 : [Local depth:1]<e19><e65><e199>
1110100 : [Local depth:3]
1110101 : [Local depth:1]<e19><e65><e199>
1110110 : [Local depth:2]<e2><e10>
1110111 : [Local depth:1]<e19><e65><e199>
1111000 : [Local depth:4]<e8>
1111001 : [Local depth:1]<e19><e65><e199>
1111010 : [Local depth:2]<e2><e10>
1111011 : [Local depth:1]<e19><e65><e199>
1111100 : [Local depth:3]
1111101 : [Local depth:1]<e19><e65><e199>
1111110 : [Local depth:2]<e2><e10>
1111111 : [Local depth:1]<e19><e65><e199>
